,Smash Bros Ultimate,Super Mario,Donkey Kong,Yoshi,Wario,Legend of Zelda,Metroid,Kirby,Star Fox,Pokemon,Mother/Earthbound,F-Zero,Ice Climber,Fire Emblem,Game & Watch,Kid Icarus,Metal Gear,R.O.B.,Sonic,Pikmin,Animal Crossing,Mega Man,Wii Series,Punch-Out,Pac-Man,Xenoblade,Duck Hunt,Street Fighter,Final Fantasy,Bayonetta,Splatoon,Castlevania,Persona,Dragon Quest,Banjo-Kazooie,Fatal Fury,Arms,Minecraft,Tekken,Kingdom Hearts,Nintendogs,Monster Hunter,Undertale,Cuphead,Tetris,Golden Sun,Assassin's Creed,Resident Evil,The Sims,Bomberman,Virtua Fighter,Elder Scrolls,Fallout,Devil May Cry,Rabbids,Shovel Knight,Balloon Fight
Smash Bros Ultimate,NA,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Super Mario,Z,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,X,,,,X,X,,X,X,,,X,,,,X,,,,,,X,,X
Donkey Kong,Z,X,NA,X,X,X,X,X,X,X,,,X,,X,,,,X,X,X,,,X,X,,,,,,,,,,X,,,X,,,,,,,X,,,,,,,,,,X,,X
Yoshi,Z,X,X,NA,X,X,,X,,,,,,,,,X,,X,,X,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,
Wario,Z,X,X,X,NA,X,X,X,X,X,,,X,X,X,X,,X,,X,X,,X,X,,,X,,,,X,,,,,,,X,,,X,,,,X,,,,,X,,,,,,,X
Legend of Zelda,Z,X,X,X,X,NA,,X,,,,,,X,X,X,,X,X,X,X,,X,,,X,,,,X,X,,,,,,,,X,,X,X,,,X,,,,X,,,X,,,,,
Metroid,Z,X,X,,X,,NA,X,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,X,,X,X,,,X,,,,,,,,,,,,
Kirby,Z,X,X,X,X,X,X,NA,,,X,X,,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,
Star Fox,Z,X,X,,X,,,,NA,,,X,,,,,,X,,,X,,,,,,,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,,,,
Pokemon,Z,X,X,,X,,,,,NA,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,
Mother/Earthbound,Z,X,,,,,,X,,,NA,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
F-Zero,Z,X,,,,,,X,X,,,NA,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Ice Climber,Z,X,X,,X,,,,,,,,NA,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Fire Emblem,Z,X,,,X,,,X,,,,,,NA,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,
Game & Watch,Z,X,X,,X,X,,,,,,,,,NA,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X
Kid Icarus,Z,X,,,X,X,,X,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Metal Gear,Z,X,,X,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,X,,,X,,,,,,,
R.O.B.,Z,X,,,X,X,,X,X,,,X,,,,,,NA,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Sonic,Z,X,X,X,,X,,,,,,,,,,,,,NA,,,X,,,X,,,X,,,,,X,,X,,,X,,,,X,,,X,,,,X,,X,,,,,,
Pikmin,Z,X,X,,X,X,,,,,,,,,X,,,X,,NA,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,
Animal Crossing,Z,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,NA,,X,X,,,,,,,X,,,,,,,,,,X,X,,,X,X,,,,,,,,,,,X
Mega Man,Z,X,,,,,,,,,,,,,,,,,X,,,NA,,,,,,X,,,,,,,,,,X,X,,,X,,,,,,X,,,,,,X,,,
Wii Series,Z,X,,,X,X,X,,,,,X,,,,,,,,,X,,NA,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Punch-Out,Z,X,X,,X,,,,,,,,,,X,,,,,,X,,,NA,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac-Man,Z,X,X,,,,,,,,,,,,,,,,X,,,,,,NA,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Xenoblade,Z,X,,,,X,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Duck Hunt,Z,X,,,X,,,,,,,,,,,,,,,,,,,X,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Fighter,Z,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,NA,,,,,,,,X,,X,X,,,X,,,,,,X,,,,,,X,,,
Final Fantasy,Z,X,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,X,X,,,,X,X,X,,X,,,,,X,X,X,,,,,,,,
Bayonetta,Z,X,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splatoon,Z,X,,X,X,X,,,,X,,,,,,,,,,X,X,,,,,,,,,,NA,,,,,,,,,,,,,,X,,,,,,,,,,,,
Castlevania,Z,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,X,,,,,,,
Persona,Z,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,,NA,,,,,,,,,,,,,,,,,,X,,,,,,
Dragon Quest,Z,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
Banjo-Kazooie,Z,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,NA,,,X,,,,,,,,,,,,,,,,,,,
Fatal Fury,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,NA,,,X,,,,,,,,,,,,,,,,,,
Arms,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,
Minecraft,Z,X,X,X,X,,,,,,,,,,,,,,X,,,X,,,X,,,X,X,,,,,,X,,,NA,,,,,,,X,,X,,,,,X,X,,,,
Tekken,Z,X,,,,X,X,,X,,,X,,,,,,,,,,X,,,X,,,X,X,,,,,,,X,,,NA,,,,,,,,,,,,X,,,,,,
Kingdom Hearts,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,
Nintendogs,Y,X,,,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,
Monster Hunter,Y,X,,,,X,X,,X,,,,,X,,,X,,X,,X,X,,,,,,X,X,,,,,,,,,,,,,NA,,,X,,,X,,,,,,X,,,
Undertale,Y,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
Cuphead,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,
Tetris,Y,X,X,X,X,X,X,X,,X,,,X,X,X,X,,X,X,X,X,,X,,,X,,,,,X,,,,,,,X,,,,X,,,NA,,,,,X,,,,,,,X
Golden Sun,Y,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,
Assassin's Creed,Y,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,NA,,,,,,,,X,,
Resident Evil,Y,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,X,,,,,,NA,,,,,,,,,
The Sims,Y,X,,,,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,
Bomberman,Y,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,NA,,,,,,,
Virtua Fighter,Y,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,NA,,,,,,
Elder Scrolls,Y,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,NA,X,,,,
Fallout,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,NA,,,,
Devil May Cry,Y,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,NA,,,
Rabbids,Y,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,NA,,
Shovel Knight,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,
Balloon Fight,Y,X,X,,X,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,NA